DMSO_percent	total_volume	time_min	percent_volume
0	5	0	1
0	5	0	1
0	5	10	0.960021523475541
0	5	10	0.951531044341288
0	5	100	0.609041547511227
0	5	100	0.619653432595831
0	5	110	0.574951684668453
0	5	110	0.583820526542541
0	5	120	0.546360186800321
0	5	120	0.560180584476086
0	5	150	0.426060177264516
0	5	150	0.452890107924063
0	5	20	0.918782774415982
0	5	20	0.909536767059966
0	5	33	0.86911421081173
0	5	33	0.861858784570457
0	5	40	0.839972876446134
0	5	40	0.832191798451565
0	5	52	0.795802677816521
0	5	52	0.792662243152402
0	5	62	0.758963632486428
0	5	62	0.761928129740404
0	5	70	0.73000557695332
0	5	70	0.73274820101011
0	5	80	0.685102262993755
0	5	80	0.688200992911253
0	5	90	0.652478630810887
0	5	90	0.656258267113537
1.2766	5	0	1
1.2766	5	0	1
1.2766	5	10	0.969244143292174
1.2766	5	10	0.961013865113727
1.2766	5	100	0.649460293985072
1.2766	5	100	0.654928957569665
1.2766	5	110	0.61934592944367
1.2766	5	110	0.62349584304025
1.2766	5	120	0.593041213428589
1.2766	5	120	0.599921227441994
1.2766	5	150	0.486371054691574
1.2766	5	150	NA
1.2766	5	20	0.932644167775008
1.2766	5	20	0.923858445785913
1.2766	5	33	0.887472620962902
1.2766	5	33	0.881362543140385
1.2766	5	40	0.862437787789929
1.2766	5	40	0.853932363506788
1.2766	5	52	0.820350242165801
1.2766	5	52	0.814272540595288
1.2766	5	62	0.787514700105597
1.2766	5	62	0.78646849215697
1.2766	5	70	0.759940101248409
1.2766	5	70	0.756402111406679
1.2766	5	80	0.722206439654363
1.2766	5	80	0.721211139881086
1.2766	5	90	0.688826662090399
1.2766	5	90	0.689948977223463
2.55319	5	0	1
2.55319	5	0	1
2.55319	5	10	0.966566489391334
2.55319	5	10	0.957173183560094
2.55319	5	100	0.667859760421183
2.55319	5	100	0.673823715272988
2.55319	5	110	0.638901823158959
2.55319	5	110	0.643458548025355
2.55319	5	120	0.608486882764047
2.55319	5	120	0.614809241921662
2.55319	5	150	0.511049798265367
2.55319	5	150	0.527668252876848
2.55319	5	20	0.930666700480236
2.55319	5	20	0.9237204978308
2.55319	5	33	0.889324236590141
2.55319	5	33	0.880878004204774
2.55319	5	40	0.865465810292333
2.55319	5	40	0.857718117645299
2.55319	5	52	0.829404982758243
2.55319	5	52	0.822978287806086
2.55319	5	62	0.798079415405398
2.55319	5	62	0.795111382276081
2.55319	5	70	0.770214230492692
2.55319	5	70	0.76800626270987
2.55319	5	80	0.734335528350188
2.55319	5	80	0.732837746163987
2.55319	5	90	0.704831214913205
2.55319	5	90	0.70641844010296
3.82979	5	0	1
3.82979	5	0	1
3.82979	5	10	0.966919298838193
3.82979	5	10	0.962292356834689
3.82979	5	100	0.683030503898722
3.82979	5	100	0.692345781626221
3.82979	5	110	0.655840034855162
3.82979	5	110	0.664705314917237
3.82979	5	120	0.627924486637104
3.82979	5	120	0.636206729143757
3.82979	5	150	0.533301654365506
3.82979	5	150	0.552055137906845
3.82979	5	20	0.930645041988767
3.82979	5	20	0.929734465013504
3.82979	5	33	0.893847273883145
3.82979	5	33	0.889251357496812
3.82979	5	40	0.867925693394949
3.82979	5	40	0.864319178019615
3.82979	5	52	0.832759353431941
3.82979	5	52	0.832363275357093
3.82979	5	62	0.803212377071269
3.82979	5	62	0.807957309054711
3.82979	5	70	0.777653336170321
3.82979	5	70	0.778871901724304
3.82979	5	80	0.745387312905295
3.82979	5	80	0.746081392270666
3.82979	5	90	0.718378113655354
3.82979	5	90	0.721359327395575
5.10638	5	0	1
5.10638	5	0	1
5.10638	5	10	0.966684532179849
5.10638	5	10	0.962390246349909
5.10638	5	100	0.696092855442224
5.10638	5	100	0.703573333441643
5.10638	5	110	0.669987315043366
5.10638	5	110	0.675906194965224
5.10638	5	120	0.639682981433504
5.10638	5	120	0.64772037568978
5.10638	5	150	0.548222311924221
5.10638	5	150	0.566639723668744
5.10638	5	20	0.931955500164766
5.10638	5	20	0.929412186328549
5.10638	5	33	0.894348917492286
5.10638	5	33	0.891078850609756
5.10638	5	40	0.874085176343523
5.10638	5	40	0.869149354082531
5.10638	5	52	0.837939043483567
5.10638	5	52	0.838023499366905
5.10638	5	62	0.810373053272186
5.10638	5	62	0.813264669944002
5.10638	5	70	0.786275631365548
5.10638	5	70	0.786056068071885
5.10638	5	80	0.75140739209155
5.10638	5	80	0.75596767589135
5.10638	5	90	0.729500644903698
5.10638	5	90	0.732796514315128
6.38298	5	0	1
6.38298	5	0	1
6.38298	5	10	0.970510925731952
6.38298	5	10	0.965199548825264
6.38298	5	100	0.706545886394852
6.38298	5	100	0.712968461028048
6.38298	5	110	0.679787176851601
6.38298	5	110	0.68552493917514
6.38298	5	120	0.653211746140837
6.38298	5	120	0.659297675003799
6.38298	5	150	0.564688070049122
6.38298	5	150	0.580146335824938
6.38298	5	20	0.937477215329763
6.38298	5	20	0.93393505963666
6.38298	5	33	0.89953849700474
6.38298	5	33	0.895591382900448
6.38298	5	40	0.878094873603641
6.38298	5	40	0.875873074500023
6.38298	5	52	0.845104683755797
6.38298	5	52	0.845496580117003
6.38298	5	62	0.819262368374986
6.38298	5	62	0.820449407805493
6.38298	5	70	0.795069562486567
6.38298	5	70	0.794950948421554
6.38298	5	80	0.765195112791019
6.38298	5	80	0.766639247052298
6.38298	5	90	0.739719355075184
6.38298	5	90	0.741627792585482
7.65957	5	0	1
7.65957	5	0	1
7.65957	5	10	0.974008934697644
7.65957	5	10	0.965004165423796
7.65957	5	100	0.713935325520493
7.65957	5	100	0.718717904127358
7.65957	5	110	0.688384952006483
7.65957	5	110	0.690771172135347
7.65957	5	120	0.661538545053357
7.65957	5	120	0.666492797848717
7.65957	5	150	0.573408271193441
7.65957	5	150	0.586413703454564
7.65957	5	20	0.943333244244099
7.65957	5	20	0.933377352643909
7.65957	5	33	0.904637388704766
7.65957	5	33	0.896868298893411
7.65957	5	40	0.883345410776425
7.65957	5	40	0.876860519870183
7.65957	5	52	0.851870312969312
7.65957	5	52	0.84667100850609
7.65957	5	62	0.825764496552824
7.65957	5	62	0.82523449732353
7.65957	5	70	0.803176485185366
7.65957	5	70	0.799239324318599
7.65957	5	80	0.771145944475775
7.65957	5	80	0.769371243239833
7.65957	5	90	0.745410423327606
7.65957	5	90	0.747188558508088
